"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5105606";"      Matupá";"24382";"3500";"17110";"1150";"17000";"2700";"21147";"6000";"15921";"2960";"18066";"2500";"9135";"2800";"7849";"2175";"11224";"3050";"9671";"3500";"7984";"1000";"7884";"1500";"11886";"2000";"25011";"2000";"40636";"7000";"62651";"13982";"67664";"18000";"65864";"21000";"60664";"17000";"79164";"28300";"83364";"31000";"83164";"35000";"94164";"35000";"97164";"38000"
"MU";"5106216";"      Nova Canaã do Norte";"5018";"1000";"5785";"1000";"3015";"1000";"4626";"1231";"7145";"1600";"9916";"1070";"9555";"1650";"9146";"3000";"14513";"4550";"10725";"4000";"20320";"4000";"21784";"3724";"41025";"15000";"60252";"25000";"59235";"18000";"44196";"9498";"48703";"15000";"47425";"11733";"46820";"10000";"64727";"23119";"71790";"25000";"74859";"21491";"90951";"24517";"112974";"34000"
"MU";"5108808";"      Nova Guarita";"5215";"1200";"4610";"1000";"3510";"1000";"4600";"1700";"6577";"3000";"12240";"2100";"5205";"1000";"4605";"1000";"2740";"1500";"1955";"600";"4305";"500";"2723";"800";"4260";"700";"9472";"3502";"12359";"2600";"10463";"2274";"11476";"2700";"15857";"5540";"11563";"3500";"19070";"6000";"18355";"7500";"19455";"5000";"24185";"10000";"35738";"17220"
"MU";"5106265";"      Novo Mundo";"16360";"1400";"10930";"1500";"13080";"650";"9255";"3000";"15004";"3400";"11574";"1800";"5780";"2730";"3848";"1338";"6060";"1650";"7410";"300";"15260";"2150";"9110";"1000";"8535";"1500";"11000";"1500";"21630";"2800";"32307";"8000";"39466";"10000";"46207";"13500";"43407";"11200";"69307";"20600";"73404";"20000";"76404";"22000";"101404";"35000";"120972";"46000"
"MU";"5106422";"      Peixoto de Azevedo";"12737";"2750";"9680";"1500";"6830";"1030";"5390";"900";"6755";"1000";"6875";"800";"3650";"800";"2970";"600";"4554";"1600";"3470";"600";"4390";"1050";"5975";"750";"7130";"950";"9130";"950";"19350";"2150";"19585";"2750";"18670";"3000";"27693";"7500";"30170";"10000";"47520";"12850";"54870";"14200";"58670";"15000";"73670";"22000";"96857";"40000"
"MU";"5108055";"      Terra Nova do Norte";"9025";"1800";"5755";"800";"5710";"700";"6285";"1300";"8542";"2157";"9980";"2000";"4969";"1000";"3125";"400";"3068";"1000";"2768";"1500";"3210";"1420";"3620";"860";"6150";"1000";"12640";"1000";"18620";"2000";"21170";"3800";"23841";"4500";"23263";"6000";"21740";"4500";"30271";"9200";"32740";"10000";"55350";"18000";"51430";"18000";"53366";"22000"
"MI";"51004";"    Parecis";"1091426";"62280";"1117304";"66690";"1207767";"103465";"1380808";"156910";"1605556";"182100";"1743799";"225235";"1693733";"203793";"1685439";"331311";"1801578";"372185";"1779951";"344942";"1850472";"372240";"1862364";"341654";"2031371";"421288";"2175886";"512403";"2269056";"491981";"2266412";"536771";"2292046";"611636";"2523649";"776342";"2513127";"668802";"2654171";"710100";"2620829";"694500";"2791567";"867889";"2918357";"898355";"2906257";"753359"
"MU";"5102637";"      Campo Novo do Parecis";"395507";"16080";"374749";"18931";"357282";"10300";"407436";"35800";"447953";"31020";"455286";"39500";"475292";"32050";"462692";"87210";"514992";"109118";"510199";"112531";"508880";"107300";"524188";"92500";"583126";"107000";"632581";"131820";"667525";"145000";"622761";"115450";"642283";"146800";"725162";"233358";"743039";"215000";"781675";"233000";"781632";"220000";"760302";"228095";"821622";"265000";"748197";"160393"
"MU";"5102686";"      Campos de Júlio";"140449";"8700";"166773";"21018";"183667";"20950";"225178";"35348";"271505";"50500";"293472";"51187";"312345";"48495";"268793";"70593";"297907";"75442";"295792";"72568";"288771";"63090";"306247";"69568";"325575";"87006";"343862";"97175";"355822";"99181";"352958";"110036";"363449";"129036";"387965";"138129";"371073";"110002";"385130";"109600";"371000";"93000";"433910";"160601";"406004";"131000";"422115";"130000"
"MU";"5103304";"      Comodoro";"8322";"2000";"12285";"2650";"12107";"1950";"17460";"3000";"28547";"3900";"58844";"12062";"61696";"9500";"56472";"9500";"68065";"19000";"46173";"8500";"52720";"8000";"53517";"6000";"63930";"17000";"88851";"20000";"86365";"18500";"93461";"25000";"102161";"32200";"106498";"35500";"123918";"36500";"127734";"40500";"137331";"45500";"133844";"37955";"168895";"61000";"190490";"71000"
"MU";"5103502";"      Diamantino";"257945";"13000";"257229";"9000";"271592";"16180";"305631";"12120";"370577";"11580";"407489";"47081";"362524";"49898";"378825";"49898";"414869";"61160";"385224";"44500";"423284";"71000";"389888";"55586";"429655";"76200";"464377";"95200";"496260";"82300";"525222";"126595";"523031";"150600";"603187";"182500";"594899";"167300";"685649";"215000";"662362";"226000";"730449";"269351";"759947";"277314";"805245";"263811"
"MU";"5107875";"      Sapezal";"289203";"22500";"306268";"15091";"383119";"54085";"425103";"70642";"486974";"85100";"528708";"75405";"481876";"63850";"518657";"114110";"505745";"107465";"542563";"106843";"576817";"122850";"588524";"118000";"629085";"134082";"646215";"168208";"663084";"147000";"672010";"159690";"661122";"153000";"700837";"186855";"680198";"140000";"673983";"112000";"668504";"110000";"733062";"171887";"761889";"164041";"740210";"128155"
