"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5108204";"      Torixoréu";"100,00";"1,41";"100,00";"1,94";"100,00";"1,36";"100,00";"1,05";"100,00";"1,04";"100,00";"1,05";"100,00";"1,01";"100,00";"1,20";"100,00";"4,40";"100,00";"0,89";"100,00";"6,07";"100,00";"0,35";"100,00";"7,32";"100,00";"10,55";"100,00";"14,12";"100,00";"13,19";"100,00";"6,80";"100,00";"8,45";"100,00";"9,06";"100,00";"12,51";"100,00";"11,97";"100,00";"12,10";"100,00";"18,68";"100,00";"18,13"
"MI";"51021";"    Rondonópolis";"100,00";"9,98";"100,00";"8,18";"100,00";"8,55";"100,00";"10,72";"100,00";"10,87";"100,00";"9,32";"100,00";"13,89";"100,00";"16,12";"100,00";"15,08";"100,00";"16,59";"100,00";"19,99";"100,00";"17,44";"100,00";"24,14";"100,00";"25,47";"100,00";"26,04";"100,00";"27,99";"100,00";"25,61";"100,00";"28,75";"100,00";"26,31";"100,00";"25,56";"100,00";"26,07";"100,00";"27,04";"100,00";"30,46";"100,00";"31,35"
"MU";"5103601";"      Dom Aquino";"100,00";"11,89";"100,00";"15,46";"100,00";"17,47";"100,00";"23,25";"100,00";"20,75";"100,00";"21,00";"100,00";"24,35";"100,00";"25,11";"100,00";"20,41";"100,00";"19,79";"100,00";"23,56";"100,00";"20,63";"100,00";"23,74";"100,00";"19,12";"100,00";"20,37";"100,00";"22,87";"100,00";"19,40";"100,00";"23,31";"100,00";"19,30";"100,00";"20,69";"100,00";"20,86";"100,00";"23,44";"100,00";"21,73";"100,00";"21,11"
"MU";"5104609";"      Itiquira";"100,00";"8,69";"100,00";"5,74";"100,00";"4,62";"100,00";"6,86";"100,00";"9,42";"100,00";"5,49";"100,00";"8,92";"100,00";"11,38";"100,00";"9,78";"100,00";"13,81";"100,00";"21,82";"100,00";"19,47";"100,00";"27,87";"100,00";"29,40";"100,00";"31,28";"100,00";"32,97";"100,00";"32,03";"100,00";"37,19";"100,00";"31,69";"100,00";"31,19";"100,00";"32,02";"100,00";"32,21";"100,00";"33,82";"100,00";"35,69"
"MU";"5104807";"      Jaciara";"100,00";"13,17";"100,00";"14,55";"100,00";"12,50";"100,00";"15,58";"100,00";"13,06";"100,00";"14,42";"100,00";"17,30";"100,00";"20,72";"100,00";"19,48";"100,00";"17,07";"100,00";"20,56";"100,00";"16,48";"100,00";"19,03";"100,00";"19,54";"100,00";"17,85";"100,00";"18,95";"100,00";"18,12";"100,00";"18,22";"100,00";"19,56";"100,00";"16,24";"100,00";"17,21";"100,00";"20,39";"100,00";"26,34";"100,00";"25,26"
"MU";"5105200";"      Juscimeira";"100,00";"18,23";"100,00";"14,16";"100,00";"14,25";"100,00";"12,37";"100,00";"14,33";"100,00";"16,58";"100,00";"26,95";"100,00";"26,81";"100,00";"23,81";"100,00";"21,61";"100,00";"21,72";"100,00";"18,52";"100,00";"18,14";"100,00";"20,46";"100,00";"24,16";"100,00";"25,10";"100,00";"25,10";"100,00";"27,16";"100,00";"26,56";"100,00";"24,09";"100,00";"22,05";"100,00";"23,99";"100,00";"24,71";"100,00";"25,93"
"MU";"5106372";"      Pedra Preta";"100,00";"6,38";"100,00";"3,93";"100,00";"8,95";"100,00";"11,16";"100,00";"10,39";"100,00";"6,27";"100,00";"12,10";"100,00";"11,11";"100,00";"14,90";"100,00";"16,82";"100,00";"14,69";"100,00";"10,47";"100,00";"14,76";"100,00";"21,53";"100,00";"23,82";"100,00";"25,09";"100,00";"23,25";"100,00";"24,42";"100,00";"23,37";"100,00";"22,01";"100,00";"22,57";"100,00";"23,39";"100,00";"29,00";"100,00";"28,32"
"MU";"5107602";"      Rondonópolis";"100,00";"9,78";"100,00";"6,35";"100,00";"6,53";"100,00";"6,37";"100,00";"5,60";"100,00";"6,83";"100,00";"11,17";"100,00";"17,94";"100,00";"17,65";"100,00";"18,35";"100,00";"15,90";"100,00";"15,95";"100,00";"27,31";"100,00";"26,92";"100,00";"24,06";"100,00";"27,94";"100,00";"20,73";"100,00";"24,88";"100,00";"24,88";"100,00";"24,55";"100,00";"25,12";"100,00";"25,12";"100,00";"33,66";"100,00";"35,69"
"MU";"5107297";"      São José do Povo";"100,00";"30,77";"100,00";"38,46";"100,00";"38,46";"100,00";"47,37";"100,00";"39,41";"100,00";"37,91";"100,00";"46,88";"100,00";"13,11";"100,00";"21,62";"100,00";"41,67";"100,00";"41,67";"100,00";"41,67";"100,00";"41,67";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"6,20";"100,00";"6,20"
"MU";"5107404";"      São Pedro da Cipa";"100,00";"3,20";"100,00";"5,21";"100,00";"3,48";"100,00";"2,61";"100,00";"1,96";"100,00";"2,89";"100,00";"1,93";"100,00";"1,94";"100,00";"2,03";"100,00";"1,72";"100,00";"1,61";"100,00";"2,67";"100,00";"2,76";"100,00";"20,02";"100,00";"45,66";"100,00";"36,90";"100,00";"33,26";"100,00";"44,38";"100,00";"44,38";"100,00";"36,04";"100,00";"39,79";"100,00";"39,32";"100,00";"32,97";"100,00";"32,87"
"MI";"51022";"    Alto Araguaia";"100,00";"11,24";"100,00";"11,85";"100,00";"11,78";"100,00";"8,59";"100,00";"6,08";"100,00";"5,81";"100,00";"8,12";"100,00";"16,44";"100,00";"17,37";"100,00";"18,37";"100,00";"20,96";"100,00";"17,78";"100,00";"19,52";"100,00";"21,47";"100,00";"22,40";"100,00";"26,05";"100,00";"25,76";"100,00";"17,53";"100,00";"27,15";"100,00";"26,50";"100,00";"26,51";"100,00";"26,84";"100,00";"25,49";"100,00";"28,27"
"MU";"5100300";"      Alto Araguaia";"100,00";"14,19";"100,00";"13,02";"100,00";"7,02";"100,00";"8,83";"100,00";"4,03";"100,00";"2,63";"100,00";"5,02";"100,00";"18,79";"100,00";"12,18";"100,00";"11,31";"100,00";"26,57";"100,00";"15,49";"100,00";"17,68";"100,00";"22,17";"100,00";"18,84";"100,00";"27,04";"100,00";"20,73";"100,00";"22,10";"100,00";"23,95";"100,00";"21,65";"100,00";"21,71";"100,00";"19,50";"100,00";"17,80";"100,00";"17,92"
"MU";"5100409";"      Alto Garças";"100,00";"6,93";"100,00";"9,13";"100,00";"9,18";"100,00";"5,41";"100,00";"2,75";"100,00";"3,33";"100,00";"6,50";"100,00";"6,66";"100,00";"10,15";"100,00";"15,43";"100,00";"17,88";"100,00";"14,97";"100,00";"16,33";"100,00";"21,62";"100,00";"22,08";"100,00";"25,06";"100,00";"25,47";"100,00";"27,06";"100,00";"27,19";"100,00";"26,76";"100,00";"26,88";"100,00";"27,27";"100,00";"23,16";"100,00";"29,46"
"MU";"5100607";"      Alto Taquari";"100,00";"14,10";"100,00";"14,44";"100,00";"15,76";"100,00";"12,09";"100,00";"9,45";"100,00";"9,48";"100,00";"11,28";"100,00";"26,57";"100,00";"26,37";"100,00";"24,76";"100,00";"23,34";"100,00";"21,24";"100,00";"23,16";"100,00";"21,07";"100,00";"24,05";"100,00";"26,66";"100,00";"27,80";"100,00";"2,28";"100,00";"28,35";"100,00";"28,30";"100,00";"28,18";"100,00";"29,68";"100,00";"31,05";"100,00";"31,53"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"UF";"51";"Mato Grosso";"..";"1429672";"..";"1743043";"..";"2311368";"..";"3192813";"..";"3408968";"..";"3483266";"..";"4228423";"..";"6130082";"..";"7799413";"..";"8181984";"..";"8164273";"..";"7763942";"..";"15646716";"..";"20186020";"..";"18071316";"..";"21353295";"..";"15339785";"..";"29942322";"..";"26172540";"..";"31504274";"..";"33650671";"..";"32051305";"..";"38331222";"..";"50241972"
"ME";"5101";"  Norte Mato-grossense";"..";"809109";"..";"881575";"..";"1452653";"..";"2142708";"..";"2339981";"..";"2452656";"..";"2890471";"..";"4359133";"..";"5630436";"..";"5813190";"..";"5577043";"..";"5189008";"..";"10694787";"..";"14505380";"..";"11627611";"..";"14221486";"..";"10717610";"..";"21848919";"..";"18551024";"..";"22588593";"..";"24079421";"..";"22187362";"..";"27299722";"..";"34114833"
"MI";"51001";"    Aripuanã";"..";"38079";"..";"40749";"..";"54932";"..";"70300";"..";"65181";"..";"87120";"..";"107240";"..";"77924";"..";"146967";"..";"141321";"..";"103484";"..";"108708";"..";"244488";"..";"307487";"..";"269435";"..";"348703";"..";"242797";"..";"730880";"..";"763150";"..";"899232";"..";"940531";"..";"753906";"..";"994224";"..";"1425724"
"MU";"5101407";"      Aripuanã";"..";"5720";"..";"2200";"..";"3648";"..";"6000";"..";"3600";"..";"8400";"..";"8064";"..";"1800";"..";"1800";"..";"1900";"..";"1805";"..";"2285";"..";"2285";"..";"4508";"..";"4548";"..";"9548";"..";"9780";"..";"17040";"..";"18360";"..";"22920";"..";"19119";"..";"23830";"..";"32715";"..";"49650"
"MU";"5101902";"      Brasnorte";"..";"16620";"..";"15313";"..";"8160";"..";"33300";"..";"31200";"..";"33000";"..";"62490";"..";"46890";"..";"121824";"..";"115776";"..";"74394";"..";"90770";"..";"225450";"..";"291038";"..";"252336";"..";"307860";"..";"217080";"..";"678360";"..";"696960";"..";"828000";"..";"873000";"..";"668826";"..";"873964";"..";"1246200"
"MU";"5102850";"      Castanheira";"..";"1800";"..";"2002";"..";"1955";"..";"2046";"..";"2046";"..";"3280";"..";"1771";"..";"965";"..";"965";"..";"965";"..";"2840";"..";"2840";"..";"2823";"..";"1440";"..";"420";"..";"1220";"..";"800";"..";"370";"..";"370";"..";"530";"..";"310";"..";"356";"..";"1413";"..";"1554"
"MU";"5103254";"      Colniza";"..";"...";"..";"4400";"..";"24000";"..";"9000";"..";"10800";"..";"18000";"..";"10815";"..";"9757";"..";"5550";"..";"5700";"..";"5700";"..";"2930";"..";"2975";"..";"3455";"..";"5200";"..";"7700";"..";"2700";"..";"8050";"..";"11325";"..";"11650";"..";"8567";"..";"10574";"..";"10933";"..";"13535"
"MU";"5103379";"      Cotriguaçu";"..";"2544";"..";"2800";"..";"5000";"..";"5750";"..";"7680";"..";"8400";"..";"9660";"..";"4500";"..";"4860";"..";"4860";"..";"7200";"..";"5439";"..";"6480";"..";"3400";"..";"1610";"..";"1425";"..";"1725";"..";"4500";"..";"3185";"..";"3730";"..";"3330";"..";"4810";"..";"9803";"..";"30275"
"MU";"5105150";"      Juína";"..";"9460";"..";"9760";"..";"9700";"..";"12144";"..";"7290";"..";"12750";"..";"10680";"..";"9450";"..";"9870";"..";"9870";"..";"9870";"..";"3300";"..";"3300";"..";"3300";"..";"4470";"..";"20280";"..";"9984";"..";"18180";"..";"24480";"..";"24482";"..";"28852";"..";"36480";"..";"49920";"..";"66830"
"MU";"5105176";"      Juruena";"..";"1935";"..";"2470";"..";"960";"..";"420";"..";"1440";"..";"2240";"..";"3600";"..";"3000";"..";"1350";"..";"1050";"..";"625";"..";"220";"..";"770";"..";"250";"..";"551";"..";"370";"..";"488";"..";"4140";"..";"8230";"..";"7740";"..";"7233";"..";"8910";"..";"15356";"..";"17560"
"MU";"5107578";"      Rondolândia";"..";"...";"..";"1804";"..";"1509";"..";"1640";"..";"1125";"..";"1050";"..";"160";"..";"1562";"..";"748";"..";"1200";"..";"1050";"..";"924";"..";"405";"..";"96";"..";"300";"..";"300";"..";"240";"..";"240";"..";"240";"..";"180";"..";"120";"..";"120";"..";"120";"..";"120"
"MI";"51002";"    Alta Floresta";"..";"25321";"..";"21406";"..";"19812";"..";"21257";"..";"24400";"..";"24256";"..";"24249";"..";"21380";"..";"24035";"..";"14090";"..";"9030";"..";"7650";"..";"4786";"..";"10302";"..";"17282";"..";"40093";"..";"27444";"..";"78135";"..";"81345";"..";"128115";"..";"154236";"..";"126512";"..";"237529";"..";"773322"
"MU";"5100250";"      Alta Floresta";"..";"3870";"..";"7000";"..";"1722";"..";"1680";"..";"1440";"..";"1440";"..";"2919";"..";"3980";"..";"2700";"..";"600";"..";"2400";"..";"1800";"..";"720";"..";"4362";"..";"9030";"..";"22828";"..";"14340";"..";"53079";"..";"57600";"..";"76500";"..";"85500";"..";"52901";"..";"110000";"..";"368594"
"MU";"5100805";"      Apiacás";"..";"2400";"..";"1950";"..";"2160";"..";"2640";"..";"4320";"..";"4320";"..";"4590";"..";"1350";"..";"5700";"..";"3240";"..";"1620";"..";"2340";"..";"1260";"..";"630";"..";"-";"..";"-";"..";"-";"..";"-";"..";"-";"..";"-";"..";"-";"..";"2040";"..";"2040";"..";"6375"
"MU";"5102793";"      Carlinda";"..";"3120";"..";"2700";"..";"1680";"..";"3117";"..";"2400";"..";"2496";"..";"2400";"..";"1020";"..";"1145";"..";"1000";"..";"600";"..";"450";"..";"540";"..";"2400";"..";"5220";"..";"10185";"..";"8040";"..";"18175";"..";"16800";"..";"36000";"..";"34200";"..";"31992";"..";"38653";"..";"144553"
"MU";"5106158";"      Nova Bandeirantes";"..";"3660";"..";"1656";"..";"1500";"..";"1820";"..";"1960";"..";"1960";"..";"2700";"..";"3000";"..";"1800";"..";"2850";"..";"2250";"..";"150";"..";"706";"..";"1008";"..";"92";"..";"450";"..";"24";"..";"200";"..";"405";"..";"315";"..";"336";"..";"1680";"..";"7104";"..";"50400"
"MU";"5108956";"      Nova Monte Verde";"..";"4800";"..";"3600";"..";"5340";"..";"3900";"..";"5880";"..";"6300";"..";"7560";"..";"7980";"..";"5940";"..";"2800";"..";"810";"..";"960";"..";"1200";"..";"600";"..";"1080";"..";"1080";"..";"240";"..";"1464";"..";"1440";"..";"-";"..";"-";"..";"9099";"..";"33251";"..";"64800"
"MU";"5106299";"      Paranaíta";"..";"7471";"..";"4500";"..";"7410";"..";"8100";"..";"8400";"..";"7740";"..";"4080";"..";"4050";"..";"6750";"..";"3600";"..";"1350";"..";"1950";"..";"360";"..";"1302";"..";"1860";"..";"5550";"..";"4800";"..";"5217";"..";"5100";"..";"15300";"..";"34200";"..";"28800";"..";"46481";"..";"138600"
"MI";"51003";"    Colíder";"..";"42902";"..";"35715";"..";"32292";"..";"60772";"..";"54026";"..";"43652";"..";"34923";"..";"29180";"..";"56608";"..";"40910";"..";"30668";"..";"37187";"..";"108120";"..";"190450";"..";"170090";"..";"241649";"..";"218037";"..";"411370";"..";"313700";"..";"724557";"..";"767070";"..";"661325";"..";"932752";"..";"1506816"
"MU";"5103205";"      Colíder";"..";"3120";"..";"5040";"..";"1200";"..";"270";"..";"534";"..";"2100";"..";"1140";"..";"1518";"..";"9000";"..";"7000";"..";"150";"..";"840";"..";"4620";"..";"6090";"..";"10290";"..";"16074";"..";"14400";"..";"38304";"..";"27000";"..";"46589";"..";"51300";"..";"46377";"..";"57893";"..";"92400"
"MU";"5104104";"      Guarantã do Norte";"..";"9001";"..";"7515";"..";"8712";"..";"14490";"..";"7020";"..";"7200";"..";"2370";"..";"1200";"..";"3420";"..";"2880";"..";"1500";"..";"1800";"..";"5790";"..";"20190";"..";"9990";"..";"12689";"..";"8100";"..";"19200";"..";"18060";"..";"38940";"..";"48000";"..";"46992";"..";"51480";"..";"87360"
"MU";"5105606";"      Matupá";"..";"9601";"..";"4830";"..";"8616";"..";"19500";"..";"9468";"..";"8100";"..";"8400";"..";"6525";"..";"9438";"..";"10500";"..";"3000";"..";"6000";"..";"8400";"..";"10800";"..";"31500";"..";"75503";"..";"58320";"..";"119700";"..";"81600";"..";"195670";"..";"204600";"..";"175000";"..";"203175";"..";"264480"
"MU";"5106216";"      Nova Canaã do Norte";"..";"2400";"..";"3000";"..";"3000";"..";"3832";"..";"5100";"..";"3252";"..";"4905";"..";"8640";"..";"13650";"..";"11200";"..";"11200";"..";"15641";"..";"72000";"..";"120000";"..";"75560";"..";"54139";"..";"63000";"..";"63574";"..";"48000";"..";"131778";"..";"142500";"..";"103156";"..";"134844";"..";"224400"
"MU";"5108808";"      Nova Guarita";"..";"3540";"..";"3600";"..";"3600";"..";"5880";"..";"10650";"..";"7530";"..";"3600";"..";"3600";"..";"5500";"..";"2400";"..";"1750";"..";"2840";"..";"3060";"..";"16720";"..";"11700";"..";"13284";"..";"10467";"..";"26592";"..";"16800";"..";"30600";"..";"42750";"..";"24000";"..";"54000";"..";"108486"
"MU";"5106265";"      Novo Mundo";"..";"4320";"..";"4800";"..";"2052";"..";"10980";"..";"12384";"..";"7760";"..";"9378";"..";"4817";"..";"8100";"..";"1080";"..";"6540";"..";"4000";"..";"6000";"..";"8100";"..";"12600";"..";"40800";"..";"39000";"..";"76950";"..";"52640";"..";"138020";"..";"127200";"..";"105600";"..";"201600";"..";"314640"
"MU";"5106422";"      Peixoto de Azevedo";"..";"6600";"..";"4050";"..";"3012";"..";"2400";"..";"2928";"..";"2310";"..";"2380";"..";"1800";"..";"4800";"..";"1800";"..";"3450";"..";"2970";"..";"4050";"..";"4050";"..";"9450";"..";"13200";"..";"9360";"..";"38250";"..";"48000";"..";"82240";"..";"93720";"..";"72000";"..";"127160";"..";"268800"
"MU";"5108055";"      Terra Nova do Norte";"..";"4320";"..";"2880";"..";"2100";"..";"3420";"..";"5942";"..";"5400";"..";"2750";"..";"1080";"..";"2700";"..";"4050";"..";"3078";"..";"3096";"..";"4200";"..";"4500";"..";"9000";"..";"15960";"..";"15390";"..";"28800";"..";"21600";"..";"60720";"..";"57000";"..";"88200";"..";"102600";"..";"146250"
"MI";"51004";"    Parecis";"..";"129771";"..";"188264";"..";"275701";"..";"546648";"..";"712604";"..";"746060";"..";"797935";"..";"1228524";"..";"1706266";"..";"1814824";"..";"1352298";"..";"1250009";"..";"2474719";"..";"3006571";"..";"2781523";"..";"3355956";"..";"2899591";"..";"4773655";"..";"4134970";"..";"4501260";"..";"4263300";"..";"5288343";"..";"4841995";"..";"5262079"
"MU";"5102637";"      Campo Novo do Parecis";"..";"29973";"..";"59384";"..";"27120";"..";"130320";"..";"105732";"..";"125024";"..";"133937";"..";"347202";"..";"506588";"..";"576100";"..";"402768";"..";"338400";"..";"597000";"..";"752400";"..";"805200";"..";"725682";"..";"649980";"..";"1472104";"..";"1345500";"..";"1513200";"..";"1346400";"..";"1471213";"..";"1558200";"..";"1090352"
"MU";"5102686";"      Campos de Júlio";"..";"6380";"..";"46674";"..";"52750";"..";"110897";"..";"198000";"..";"203761";"..";"186248";"..";"265574";"..";"362616";"..";"421337";"..";"188670";"..";"257808";"..";"521515";"..";"583650";"..";"581713";"..";"716340";"..";"619373";"..";"897422";"..";"715210";"..";"707100";"..";"666000";"..";"1153072";"..";"787800";"..";"1023840"
"MU";"5103304";"      Comodoro";"..";"7200";"..";"7560";"..";"5700";"..";"10800";"..";"11700";"..";"36186";"..";"24600";"..";"34200";"..";"75600";"..";"37100";"..";"24000";"..";"16200";"..";"91800";"..";"102000";"..";"94350";"..";"142500";"..";"144960";"..";"201900";"..";"218400";"..";"230400";"..";"249900";"..";"215894";"..";"312000";"..";"466800"
"MU";"5103502";"      Diamantino";"..";"37505";"..";"30900";"..";"45621";"..";"38448";"..";"39572";"..";"122889";"..";"179273";"..";"179273";"..";"283759";"..";"209115";"..";"309060";"..";"191401";"..";"447400";"..";"542300";"..";"436560";"..";"734880";"..";"632160";"..";"1041900";"..";"952860";"..";"1297560";"..";"1248600";"..";"1458095";"..";"1224355";"..";"1723284"
"MU";"5107875";"      Sapezal";"..";"48713";"..";"43746";"..";"144510";"..";"256183";"..";"357600";"..";"258200";"..";"273877";"..";"402275";"..";"477703";"..";"571172";"..";"427800";"..";"446200";"..";"817004";"..";"1026221";"..";"863700";"..";"1036554";"..";"853118";"..";"1160329";"..";"903000";"..";"753000";"..";"752400";"..";"990069";"..";"959640";"..";"957803"
"MI";"51005";"    Arinos";"..";"24564";"..";"30861";"..";"42308";"..";"42297";"..";"91221";"..";"95516";"..";"94989";"..";"127650";"..";"325818";"..";"207705";"..";"191440";"..";"336102";"..";"602160";"..";"1018290";"..";"766780";"..";"1098710";"..";"769710";"..";"2031814";"..";"1723900";"..";"2141997";"..";"2557659";"..";"2071060";"..";"3103580";"..";"4286700"
"MU";"5105101";"      Juara";"..";"8524";"..";"10900";"..";"8400";"..";"6600";"..";"6054";"..";"4320";"..";"3600";"..";"3240";"..";"5220";"..";"4050";"..";"3240";"..";"1500";"..";"900";"..";"6300";"..";"11100";"..";"48000";"..";"36000";"..";"108000";"..";"84600";"..";"97200";"..";"97299";"..";"84460";"..";"185920";"..";"389400"
"MU";"5108907";"      Nova Maringá";"..";"5460";"..";"405";"..";"2280";"..";"4558";"..";"13575";"..";"9900";"..";"6270";"..";"18330";"..";"60206";"..";"55680";"..";"49260";"..";"99000";"..";"157500";"..";"220500";"..";"180000";"..";"192000";"..";"164160";"..";"441408";"..";"422400";"..";"501000";"..";"627000";"..";"450000";"..";"627000";"..";"1056000"
"MU";"5106273";"      Novo Horizonte do Norte";"..";"900";"..";"2946";"..";"4233";"..";"4095";"..";"4200";"..";"1311";"..";"1260";"..";"2400";"..";"3600";"..";"375";"..";"1890";"..";"360";"..";"360";"..";"360";"..";"780";"..";"8145";"..";"6600";"..";"15300";"..";"9200";"..";"12480";"..";"12000";"..";"5400";"..";"6720";"..";"19800"
"MU";"5106802";"      Porto dos Gaúchos";"..";"2700";"..";"3200";"..";"13950";"..";"10200";"..";"39378";"..";"33840";"..";"24470";"..";"41700";"..";"101855";"..";"25200";"..";"14400";"..";"76000";"..";"105000";"..";"167400";"..";"133000";"..";"321365";"..";"216000";"..";"571001";"..";"450800";"..";"646389";"..";"792000";"..";"648000";"..";"808300";"..";"1044000"
"MU";"5107305";"      São José do Rio Claro";"..";"3420";"..";"10410";"..";"6660";"..";"6540";"..";"3366";"..";"13517";"..";"17689";"..";"22800";"..";"57557";"..";"62400";"..";"56650";"..";"34386";"..";"90000";"..";"144000";"..";"126000";"..";"127500";"..";"61350";"..";"275400";"..";"204000";"..";"297000";"..";"399000";"..";"302400";"..";"456000";"..";"535500"
"MU";"5107941";"      Tabaporã";"..";"3560";"..";"3000";"..";"6785";"..";"10304";"..";"24648";"..";"32628";"..";"41700";"..";"39180";"..";"97380";"..";"60000";"..";"66000";"..";"124856";"..";"248400";"..";"479730";"..";"315900";"..";"401700";"..";"285600";"..";"620705";"..";"552900";"..";"587928";"..";"630360";"..";"580800";"..";"1019640";"..";"1242000"
"MI";"51006";"    Alto Teles Pires";"..";"512626";"..";"511322";"..";"959853";"..";"1307597";"..";"1228830";"..";"1274788";"..";"1674380";"..";"2583183";"..";"2911341";"..";"3127044";"..";"3222357";"..";"2758474";"..";"5666374";"..";"7744335";"..";"5882100";"..";"6773030";"..";"5150991";"..";"10614132";"..";"8417660";"..";"9926709";"..";"10780748";"..";"9154712";"..";"11985402";"..";"13469084"
"MU";"5104526";"      Ipiranga do Norte";"..";"...";"..";"...";"..";"...";"..";"...";"..";"...";"..";"136156";"..";"141873";"..";"167588";"..";"243165";"..";"299288";"..";"266000";"..";"263850";"..";"388500";"..";"519792";"..";"382500";"..";"459000";"..";"361200";"..";"684000";"..";"534300";"..";"838530";"..";"963000";"..";"784575";"..";"1067500";"..";"1275750"
"MU";"5104542";"      Itanhangá";"..";"...";"..";"...";"..";"...";"..";"...";"..";"...";"..";"27000";"..";"10186";"..";"69314";"..";"55596";"..";"74730";"..";"71030";"..";"56250";"..";"105000";"..";"99000";"..";"78000";"..";"105600";"..";"54000";"..";"204000";"..";"180000";"..";"228480";"..";"324000";"..";"225000";"..";"354000";"..";"499800"
"MU";"5105259";"      Lucas do Rio Verde";"..";"215414";"..";"188110";"..";"368400";"..";"588000";"..";"332030";"..";"529326";"..";"596030";"..";"709221";"..";"691360";"..";"809370";"..";"794016";"..";"601839";"..";"1089710";"..";"1207980";"..";"765600";"..";"866025";"..";"851220";"..";"1262010";"..";"1099380";"..";"1041660";"..";"1008000";"..";"897600";"..";"1058100";"..";"1175625"
"MU";"5105903";"      Nobres";"..";"5400";"..";"5400";"..";"6420";"..";"3510";"..";"3820";"..";"11904";"..";"6686";"..";"7650";"..";"11160";"..";"4665";"..";"6336";"..";"19805";"..";"34112";"..";"50724";"..";"88500";"..";"49985";"..";"79566";"..";"114835";"..";"88097";"..";"114762";"..";"134580";"..";"109307";"..";"155872";"..";"157409"
"MU";"5106224";"      Nova Mutum";"..";"84224";"..";"37398";"..";"72510";"..";"238619";"..";"299820";"..";"179532";"..";"217420";"..";"424660";"..";"335250";"..";"478200";"..";"396000";"..";"313200";"..";"775720";"..";"1243403";"..";"997860";"..";"972360";"..";"1003623";"..";"1751821";"..";"1394400";"..";"1591200";"..";"1827000";"..";"1510080";"..";"1953150";"..";"2304000"
"MU";"5106240";"      Nova Ubiratã";"..";"22773";"..";"8340";"..";"21000";"..";"17808";"..";"54080";"..";"50850";"..";"122892";"..";"206624";"..";"214800";"..";"300000";"..";"322500";"..";"358694";"..";"608405";"..";"1098035";"..";"943200";"..";"1105800";"..";"558912";"..";"1456900";"..";"1270800";"..";"1814083";"..";"2097900";"..";"1645830";"..";"2144880";"..";"2407200"
